Node,Betweenness Centrality_akh_v5_1209_final_worksheet_2002_2008_authors_centrality.csv,Betweenness Centrality_akh_v5_1209_final_worksheet_2002_2023_authors_centrality.csv,Betweenness Centrality_akh_v5_1209_final_worksheet_2009_2012_authors_centrality.csv,Betweenness Centrality_akh_v5_1209_final_worksheet_2013_2019_authors_centrality.csv,Betweenness Centrality_akh_v5_1209_final_worksheet_2020_2023_authors_centrality.csv
United States of America,0.0,0.1604575075439737,0.2,0.1348659003831417,0.1075917546505782
Saudi Arabia,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,0.0,0.0,0.0,0.0,0.0
Kuwait,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0269423558897243,0.0,0.0,0.0
United Kingdom,0.0,0.2338533577255381,0.0,0.0314176245210727,0.247611865258924
Norway,0.0,0.0074859142528315,0.0,0.0,0.0012569130216189
Russian Federation,0.0,0.0196136413711601,0.0,0.0245210727969348,0.0429235796882855
Sweden,0.0,0.0075997902125721,0.0,0.0,0.0053670186023127
France,0.0,0.023368364439793,0.0,0.0,0.0496229260935143
Colombia,0.0,0.0,0.0,0.0,0.0
Brazil,0.0,0.0078083831373305,0.0,0.0,0.0225741578682755
Germany,0.0,0.05338619365875,0.0,0.0,0.0597285067873303
Venezuela,0.0,0.0,0.0,0.0,0.0
Guatemala,0.0,0.0,0.0,0.0,0.0
Italy,0.0,0.0229684788895315,0.0,0.0,0.0
Belgium,0.0,0.0130758443728368,0.0,0.0,0.0769230769230769
Morocco,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0
Spain,0.0,0.0,0.0,0.0,0.0
Denmark,0.0,0.0118002211517249,0.0,0.0505747126436781,0.0
Portugal,0.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0506736041040552,0.0,0.0314176245210727,0.0271493212669683
Ethiopia,0.0,0.0,0.0,0.0,0.0
Japan,0.0,0.0,0.0,0.0,0.0
Malaysia,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,0.0,0.0,0.0
Sri Lanka,0.0,0.0,0.0,0.0,0.0
Palestine,0.0,0.0,0.0,0.0,0.0
Ireland,0.0,0.0,0.0,0.0,0.0
Mauritius,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0026159147869674,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0309915404840216,0.0,0.0551724137931034,0.0101809954751131
Czechia,0.0,0.0004991875292627,0.0,0.0,0.0006535947712418
China,0.0,0.0006360598465861,0.0,0.0,0.0
Finland,0.0,0.0,0.0,0.0,0.0
Poland,0.0,0.0,0.0,0.0,0.0
Hungary,0.0,0.0,0.0,0.0,0.0
Greenland,0.0,0.0,0.0,0.0,0.0
Switzerland,0.0,0.0313704361636692,0.0,0.0,0.0271493212669683
Mexico,0.0,0.0,0.0,0.0,0.0
North Macedonia,0.0,0.0,0.0,0.0,0.0
Australia,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0
Austria,0.0,0.0009935553168635,0.0,0.021455938697318,0.0
Indonesia,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0
Iceland,0.0,0.0,0.0,0.0,0.0
Singapore,0.0,0.0,0.0,0.0,0.0
