Node,Eigenvector Centrality_akh_v5_1209_final_worksheet_2002_2008_authors_centrality.csv,Eigenvector Centrality_akh_v5_1209_final_worksheet_2002_2023_authors_centrality.csv,Eigenvector Centrality_akh_v5_1209_final_worksheet_2009_2012_authors_centrality.csv,Eigenvector Centrality_akh_v5_1209_final_worksheet_2013_2019_authors_centrality.csv,Eigenvector Centrality_akh_v5_1209_final_worksheet_2020_2023_authors_centrality.csv
United States of America,1.0,0.2889469532990275,0.7236067977725859,0.4039035845611856,0.2006976778354487
Saudi Arabia,0.0,0.1084627764532429,0.0,0.0,0.1275775799131039
Qatar,0.0,0.1084627764532429,0.0,0.0,0.1275775799131039
Iraq,0.0,0.1084627764532429,0.0,0.0520717716600728,0.1275775799131039
United Arab Emirates,0.0,0.1084627764532429,0.0,0.0,0.1275775799131039
Kuwait,0.0,0.1084627764532429,0.0,0.0,0.1275775799131039
Iran,0.0,0.1186303804855292,0.0,5.934786200121483e-13,0.1401058608020769
United Kingdom,0.0,0.4332972648560242,0.0,0.3379740914389553,0.4480385922873769
Norway,0.0,0.143966715616621,0.0,0.0428297872314263,0.1495323551734965
Russian Federation,0.0,0.1957812304650381,0.0,0.1129019944568674,0.1941112033924535
Sweden,0.0,0.1425345806356543,0.0,0.0428297872314263,0.1707701729619923
France,0.0,0.2260106402002148,0.0,0.0304007688961374,0.2790675382988618
Colombia,0.0,0.1701475219240517,0.0,0.0,0.236935014745277
Brazil,0.0,0.1947331776974384,0.0,0.0,0.2566437040372166
Germany,0.0,0.2020831412931598,0.0,2.1933410846243678e-15,0.2812267521910719
Venezuela,0.0,0.1568056911639304,0.0,0.0,0.215748854257887
Guatemala,0.0,0.1568056911639304,0.0,0.0,0.215748854257887
Italy,0.0,0.2697990819236426,0.0,0.3086291906761503,0.236935014745277
Belgium,0.0,0.1900397740352354,0.0,2.1933410846243678e-15,0.2424721805756075
Morocco,0.0,1.4750282544466648e-17,0.0,0.0,1.3398436251874384e-21
Botswana,0.0,0.0268721419757463,0.0,0.0,0.0218548771748015
Thailand,0.0,0.0268721419757463,0.0,0.0,0.0218548771748015
Spain,0.0,0.1594753708729031,0.0,0.3086291906761503,1.3398436251874384e-21
Denmark,0.0,0.139210187470644,0.0,0.1340573699070099,0.116982549532974
Portugal,0.0,0.0402964576335913,0.0,0.0,0.048788165112208
India,0.0,0.1594753708729031,0.0,0.3484178100620968,1.3398436251874384e-21
South Africa,0.0,0.200555092883992,0.0,0.3379740914389553,0.0296646872952431
Ethiopia,0.0,0.0332340828713049,0.0,0.0,0.0267233263177204
Japan,0.0,1.4750282544466648e-17,2.071221280637481e-06,2.1933410846243678e-15,1.3398436251874384e-21
Malaysia,0.0,0.0110327513274342,2.071221280637481e-06,9.602685787760394e-13,1.3398436251874384e-21
South Korea,0.0,1.4750282544466648e-17,0.0,2.1933410846243678e-15,1.3398436251874384e-21
Kazakhstan,0.0,1.4750282544466648e-17,0.0,2.1933410846243678e-15,1.3398436251874384e-21
Netherlands,0.0,0.0187933252636199,0.0,0.0,0.0306231225694007
Nepal,0.0,1.4750282544466648e-17,0.0,0.0,1.3398436251874384e-21
Sri Lanka,0.0,1.4750282544466648e-17,0.0,0.0,1.3398436251874384e-21
Palestine,0.0,1.4750282544466648e-17,0.0,0.0,1.3398436251874384e-21
Ireland,0.0,0.0364245286412528,0.0,0.0,0.0550199734998011
Mauritius,0.0,0.0186515062087038,0.0,0.0,0.0032301930249234
Egypt,0.0,1.4750282544466648e-17,0.0,0.0,1.3398436251874384e-21
Turkey,0.0,0.1787055943574925,0.0,0.3086291906761503,0.030388016383678
Argentina,0.0,0.0245856557733866,0.0,0.0,0.0197086892919396
Canada,0.0,0.159338632383806,0.0,0.1124849668464025,0.1328984972875669
Czechia,0.0,0.0336119471323759,0.0,2.1933410846243678e-15,0.0450948888761054
China,0.0,0.0770122073439224,0.4472135954564379,0.0931376376147976,1.3398436251874384e-21
Finland,0.0,0.1088549332274617,0.0,0.0,0.1284702381654837
Poland,0.0,1.4750282544466648e-17,0.0,2.1933410846243678e-15,1.3398436251874384e-21
Hungary,0.0,0.0671685996093376,0.2763932023161478,0.0,0.048788165112208
Greenland,0.0,0.1003190407855671,0.0,0.0,0.116982549532974
Switzerland,0.0,0.1840188839130888,0.4472135954564379,0.3484178100620968,0.0391479091264796
Mexico,0.0,0.0614534226454144,0.0,0.0,0.0637058704517173
North Macedonia,0.0,0.0156575633203359,0.0,0.0,0.0038443621019087
Australia,0.0,0.0268721419757463,0.0,0.0597785097733888,1.3398436251874384e-21
Luxembourg,0.0,1.4750282544466648e-17,0.0,0.0,1.3398436251874384e-21
Austria,0.0,0.1016659947184155,0.0,0.1229024172624526,0.0
Indonesia,0.0,1.4750282544466648e-17,0.0,2.1933410846243678e-15,0.0
New Zealand,0.0,1.4750282544466648e-17,0.0,2.1933410846243678e-15,0.0
Iceland,0.0,0.0497802605451413,0.0,0.0428297872314263,0.0
Singapore,0.0,1.4750282544466648e-17,0.0,2.1933410846243678e-15,0.0
