Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Saudi Arabia,0.12280701754385964,0.0,0.38596491228070173,0.10846277645324293
Qatar,0.12280701754385964,0.0,0.38596491228070173,0.10846277645324293
Iraq,0.12280701754385964,0.0,0.38596491228070173,0.10846277645324293
United Arab Emirates,0.12280701754385964,0.0,0.38596491228070173,0.10846277645324293
Kuwait,0.12280701754385964,0.0,0.38596491228070173,0.10846277645324293
Iran,0.17543859649122806,0.02694235588972431,0.3904012905827788,0.11863038048552929
United States of America,0.43859649122807015,0.16045750754397373,0.5069389892642052,0.2889469532990275
United Kingdom,0.5789473684210527,0.23385335772553814,0.5958756540473992,0.43329726485602427
Norway,0.17543859649122806,0.007485914252831546,0.38596491228070173,0.14396671561662103
Russian Federation,0.24561403508771928,0.019613641371160173,0.4245614035087719,0.1957812304650381
Sweden,0.19298245614035087,0.007599790212572167,0.3904012905827788,0.14253458063565433
France,0.2631578947368421,0.023368364439793014,0.41420624732563116,0.2260106402002148
Colombia,0.17543859649122806,0.0,0.3816282278730534,0.17014752192405178
Brazil,0.19298245614035087,0.007808383137330506,0.40921581061086454,0.19473317769743845
Germany,0.2631578947368421,0.053386193658750046,0.40921581061086454,0.20208314129315985
Venezuela,0.14035087719298245,0.0,0.3816282278730534,0.15680569116393048
Guatemala,0.14035087719298245,0.0,0.3816282278730534,0.15680569116393048
Italy,0.2807017543859649,0.022968478889531515,0.4469067405355494,0.2697990819236426
Belgium,0.21052631578947367,0.013075844372836857,0.3949408404732762,0.19003977403523545
Morocco,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Botswana,0.03508771929824561,0.0,0.31160469982295186,0.026872141975746344
Thailand,0.03508771929824561,0.0,0.31160469982295186,0.026872141975746344
Spain,0.15789473684210525,0.0,0.3949408404732762,0.15947537087290312
Denmark,0.17543859649122806,0.01180022115172491,0.3949408404732762,0.13921018747064406
Portugal,0.05263157894736842,0.0,0.33964912280701753,0.0402964576335913
India,0.15789473684210525,0.0,0.3949408404732762,0.15947537087290312
South Africa,0.24561403508771928,0.050673604104055234,0.4245614035087719,0.200555092883992
Ethiopia,0.03508771929824561,0.0,0.3005744449619624,0.03323408287130496
Japan,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Malaysia,0.05263157894736842,0.0,0.2612685560053981,0.011032751327434209
South Korea,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Kazakhstan,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Netherlands,0.05263157894736842,0.0,0.26956279587858534,0.018793325263619987
Nepal,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Sri Lanka,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Palestine,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Ireland,0.03508771929824561,0.0,0.2807017543859649,0.03642452864125284
Mauritius,0.05263157894736842,0.0,0.27613749821708744,0.01865150620870386
Egypt,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Turkey,0.17543859649122806,0.0026159147869674183,0.404344193817878,0.17870559435749253
Argentina,0.017543859649122806,0.0,0.3087719298245614,0.024585655773386637
Canada,0.22807017543859648,0.030991540484021682,0.40921581061086454,0.15933863238380602
Czechia,0.07017543859649122,0.0004991875292627172,0.3032581453634085,0.03361194713237591
China,0.10526315789473684,0.0006360598465861623,0.3538011695906432,0.07701220734392246
Finland,0.14035087719298245,0.0,0.3691838291380625,0.10885493322746179
Poland,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Hungary,0.07017543859649122,0.0,0.36132885405001863,0.06716859960933763
Greenland,0.10526315789473684,0.0,0.3691838291380625,0.10031904078556714
Switzerland,0.21052631578947367,0.031370436163669246,0.40921581061086454,0.1840188839130888
Mexico,0.03508771929824561,0.0,0.36132885405001863,0.061453422645414424
North Macedonia,0.017543859649122806,0.0,0.26956279587858534,0.015657563320335945
Australia,0.05263157894736842,0.0,0.3087719298245614,0.026872141975746344
Luxembourg,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Austria,0.08771929824561403,0.0009935553168635874,0.3732407942934259,0.10166599471841557
Indonesia,0.03508771929824561,0.0,0.0,1.475028254446665e-17
New Zealand,0.03508771929824561,0.0,0.0,1.475028254446665e-17
Iceland,0.07017543859649122,0.0,0.29534706331045,0.04978026054514137
Singapore,0.03508771929824561,0.0,0.0,1.475028254446665e-17
