Node,Degree Centrality_akh_v5_1209_final_worksheet_2002_2008_authors_centrality.csv,Degree Centrality_akh_v5_1209_final_worksheet_2009_2012_authors_centrality.csv,Degree Centrality_akh_v5_1209_final_worksheet_2013_2019_authors_centrality.csv,Degree Centrality_akh_v5_1209_final_worksheet_2020_2023_authors_centrality.csv
United States of America,1.0,1.0,0.4666666666666667,0.3076923076923077
Saudi Arabia,0.0,0.0,0.0,0.1346153846153846
Qatar,0.0,0.0,0.0,0.1346153846153846
Iraq,0.0,0.0,0.0333333333333333,0.1346153846153846
United Arab Emirates,0.0,0.0,0.0,0.1346153846153846
Kuwait,0.0,0.0,0.0,0.1346153846153846
Iran,0.0,0.0,0.0333333333333333,0.173076923076923
United Kingdom,0.0,0.0,0.3,0.5192307692307693
Norway,0.0,0.0,0.1333333333333333,0.1346153846153846
Russian Federation,0.0,0.0,0.2333333333333333,0.2307692307692307
Sweden,0.0,0.0,0.1333333333333333,0.1923076923076923
France,0.0,0.0,0.0666666666666666,0.2692307692307693
Colombia,0.0,0.0,0.0,0.1923076923076923
Brazil,0.0,0.0,0.0,0.2115384615384615
Germany,0.0,0.0,0.0666666666666666,0.2884615384615385
Venezuela,0.0,0.0,0.0,0.1538461538461538
Guatemala,0.0,0.0,0.0,0.1538461538461538
Italy,0.0,0.0,0.2333333333333333,0.1923076923076923
Belgium,0.0,0.0,0.0666666666666666,0.2307692307692307
Morocco,0.0,0.0,0.0,0.0384615384615384
Botswana,0.0,0.0,0.0,0.0384615384615384
Thailand,0.0,0.0,0.0,0.0384615384615384
Spain,0.0,0.0,0.2333333333333333,0.0384615384615384
Denmark,0.0,0.0,0.2333333333333333,0.1153846153846153
Portugal,0.0,0.0,0.0,0.0576923076923076
India,0.0,0.0,0.3,0.0384615384615384
South Africa,0.0,0.0,0.3,0.0961538461538461
Ethiopia,0.0,0.0,0.0,0.0384615384615384
Japan,0.0,0.4,0.0666666666666666,0.0384615384615384
Malaysia,0.0,0.4,0.1,0.0384615384615384
South Korea,0.0,0.0,0.0666666666666666,0.0384615384615384
Kazakhstan,0.0,0.0,0.0666666666666666,0.0384615384615384
Netherlands,0.0,0.0,0.0,0.0576923076923076
Nepal,0.0,0.0,0.0,0.0384615384615384
Sri Lanka,0.0,0.0,0.0,0.0384615384615384
Palestine,0.0,0.0,0.0,0.0384615384615384
Ireland,0.0,0.0,0.0,0.0384615384615384
Mauritius,0.0,0.0,0.0,0.0576923076923076
Egypt,0.0,0.0,0.0,0.0384615384615384
Turkey,0.0,0.0,0.2333333333333333,0.0576923076923076
Argentina,0.0,0.0,0.0,0.0192307692307692
Canada,0.0,0.0,0.2333333333333333,0.173076923076923
Czechia,0.0,0.0,0.0666666666666666,0.0769230769230769
China,0.0,0.4,0.1666666666666666,0.0384615384615384
Finland,0.0,0.0,0.0,0.1538461538461538
Poland,0.0,0.0,0.0666666666666666,0.0384615384615384
Hungary,0.0,0.2,0.0,0.0576923076923076
Greenland,0.0,0.0,0.0,0.1153846153846153
Switzerland,0.0,0.4,0.3,0.0576923076923076
Mexico,0.0,0.0,0.0,0.0384615384615384
North Macedonia,0.0,0.0,0.0,0.0192307692307692
Australia,0.0,0.0,0.1,0.0384615384615384
Luxembourg,0.0,0.0,0.0,0.0384615384615384
Austria,0.0,0.0,0.1666666666666666,0.0
Indonesia,0.0,0.0,0.0666666666666666,0.0
New Zealand,0.0,0.0,0.0666666666666666,0.0
Iceland,0.0,0.0,0.1333333333333333,0.0
Singapore,0.0,0.0,0.0666666666666666,0.0
